Time,Temperature,10 g X,Sound,Light,Pressure,Humidity,Comment
, C, g, dBA, lx, kPa, %RH,
245.76,20.5,0.0,0.70,596,100.37,47.9,
246.72,20.5,0.0,0.62,607,100.40,47.8,
247.68,20.5,0.0,0.41,642,100.38,47.7,
248.64,20.5,0.0,0.46,636,100.37,47.6,
249.60,20.5,0.0,0.74,631,100.44,47.5,
250.56,20.5,0.0,1.73,627,100.40,47.4,
251.52,20.6,0.0,0.57,612,100.41,47.3,
252.48,20.6,0.0,0.77,603,100.40,47.2,
253.44,20.6,0.0,0.68,565,100.43,47.0,
254.40,20.6,0.0,0.79,555,100.38,46.9,
255.36,20.6,0.0,0.68,558,100.39,46.7,
256.32,20.6,0.0,0.68,570,100.42,46.6,
257.28,20.6,0.0,0.40,588,100.42,46.4,
258.24,20.7,0.0,0.40,600,100.44,46.3,
259.20,20.7,0.0,1.71,587,100.39,46.2,
260.16,20.7,0.0,0.40,570,100.42,46.1,
261.12,20.7,0.0,0.40,577,100.41,46.0,
262.08,20.7,0.0,1.80,576,100.43,45.9,
263.04,20.7,0.0,0.40,578,100.39,45.8,
264.00,20.7,0.0,1.70,586,100.40,45.7,
264.96,20.7,0.0,0.76,407,100.40,45.6,
265.92,20.7,0.0,1.56,594,100.41,45.5,
266.88,20.8,0.0,0.88,566,100.37,45.4,
267.84,20.8,0.0,0.95,484,100.41,45.6,
268.80,20.8,0.0,1.86,340,100.39,46.2,
269.76,20.8,0.0,0.102,435,100.40,46.6,
270.72,20.8,0.0,0.55,453,100.39,46.8,
271.68,20.8,0.0,1.75,495,100.39,48.4,
272.64,20.9,0.0,0.67,607,100.42,49.7,
273.60,20.9,0.0,0.70,720,100.40,50.5,
274.56,20.9,0.0,0.73,801,100.36,51.1,
275.52,20.9,0.0,0.84,751,100.43,51.4,
276.48,20.9,0.0,0.89,637,100.40,51.5,
277.44,20.9,0.0,0.40,586,100.41,51.5,
278.40,20.9,0.0,1.44,549,100.39,51.3,
279.36,20.9,0.0,0.72,532,100.40,51.2,
280.32,20.9,0.0,0.60,527,100.40,50.9,
281.28,21.0,0.0,0.40,614,100.40,50.7,
282.24,21.0,0.0,0.40,602,100.41,50.5,
283.20,21.0,0.0,1.40,616,100.40,50.2,
284.16,21.0,0.0,0.40,681,100.39,50.0,
285.12,21.0,0.0,0.40,709,100.40,49.8,
286.08,21.0,0.0,0.40,728,100.38,49.6,
287.04,21.0,0.0,1.40,762,100.44,49.4,
288.00,21.1,0.0,0.40,762,100.38,49.3,
288.96,21.1,0.0,0.84,754,100.38,49.1,
289.92,21.1,0.0,0.55,726,100.41,48.9,
290.88,21.1,0.0,0.75,719,100.36,48.7,
291.84,21.1,0.0,0.73,726,100.39,48.5,
292.80,21.1,0.0,0.59,727,100.37,48.3,
293.76,21.1,0.0,1.55,718,100.40,48.1,
294.72,21.1,0.0,0.76,694,100.40,47.8,
295.68,21.1,0.0,1.61,693,100.41,47.6,
296.64,21.1,0.0,1.40,706,100.40,47.4,
297.60,21.2,0.0,0.40,714,100.38,47.3,
298.56,21.2,0.0,0.40,710,100.43,47.1,
299.52,21.2,0.0,0.40,723,100.40,46.9,
300.48,21.2,0.0,0.68,715,100.39,46.8,
